BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
1188 FRANKLIN ST,USA,CA,94109,San Francisco,Western Addition,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78527862,-122.4225994
1195 Evans Ave,USA,CA,94124,San Francisco,Bayview,NA,DidNotComply,DidNotComply,DidNotComply,37.73810994,-122.3806194
1199 BUSH ST,USA,CA,94109,San Francisco,Downtown/Civic Center,Complied,DidNotComply,DidNotComply,DidNotComply,37.78893942,-122.4167765
120 2ND ST,USA,CA,94105,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.78752871,-122.3996287
120 8TH ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77698207,-122.4129545
120 POWELL ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.7859617,-122.4077253
1200 16th Street,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.76639456,-122.3996228
1200 FOLSOM ST,USA,CA,94103,San Francisco,South of Market,NA,NA,Complied,DidNotComply,37.7750451,-122.4104345
1200 IRVING ST,USA,CA,94122,San Francisco,Inner Sunset,NA,DidNotComply,DidNotComply,DidNotComply,37.7641531,-122.4711688
1200 VAN NESS AVE,USA,CA,94109,San Francisco,Downtown/Civic Center,Complied,Complied,Complied,DidNotComply,37.78695605,-122.4212893
1201 EVANS AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.73861155,-122.3814437
1201 FOLSOM ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.7746737,-122.410045
1201 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77842703,-122.4147624
1209 TENNESSEE ST,USA,CA,94107,San Francisco,Potrero Hill,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.75596816,-122.3887365
685 7TH ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,Complied,Complied,37.7723002,-122.4016886
121 2ND ST,USA,CA,94105,San Francisco,Fidi,NA,Complied,Complied,DidNotComply,37.78785556,-122.3990906
121 CAPP ST,USA,CA,94110,San Francisco,Mission,NA,NA,DidNotComply,DidNotComply,37.76471067,-122.4183707
121 Spear  St,USA,CA,94105,San Francisco,Fidi,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.79190395,-122.3928285
1212 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,Complied,DidNotComply,37.77859642,-122.4154647
1212 UNDERWOOD AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72593152,-122.3843575
1215 COLUMBUS AVE,USA,CA,94133,San Francisco,Russian Hill,NA,NA,DidNotComply,DidNotComply,37.80527618,-122.4173774
1215 FELL ST,USA,CA,94117,San Francisco,Haight Ashbury,NA,NA,DidNotComply,DidNotComply,37.7737125,-122.4381397
1215 MICHIGAN ST,USA,CA,94107,San Francisco,Potrero Hill,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.75400383,-122.3857018
1218 Connecticut St,USA,CA,94107,San Francisco,Potrero Hill,NA,DidNotComply,DidNotComply,DidNotComply,37.75068941,-122.3985903
150 SPEAR ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,DidNotComply,DidNotComply,37.79182452,-122.3936105
123 LOOMIS ST,USA,CA,94124,San Francisco,Bayview,NA,DidNotComply,DidNotComply,DidNotComply,37.74117713,-122.4046977
117 MISSION ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,DidNotComply,DidNotComply,37.79212954,-122.3945794
1230 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.77852952,-122.4156021
1230 PINE ST,USA,CA,94109,San Francisco,Nob Hill,NA,DidNotComply,DidNotComply,DidNotComply,37.7904478,-122.4162601
1230 UNDERWOOD AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,Exempt - Tenant Turnover,Exempt - Tenant Turnover,37.72622496,-122.3847213
1233 Howard St.,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.77570154,-122.411992
1233 VAN NESS AVE,USA,CA,94109,San Francisco,Western Addition,NA,NA,DidNotComply,DidNotComply,37.78715378,-122.4220868
1234 DIVISADERO ST,USA,CA,94115,San Francisco,Western Addition,NA,NA,DidNotComply,DidNotComply,37.78117637,-122.4387263
1234 INDIANA ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,Complied,DidNotComply,37.75476219,-122.3911963
1237 MINNESOTA ST,USA,CA,94107,San Francisco,Potrero Hill,NA,Complied,Complied,DidNotComply,37.75453323,-122.3894019
1240 EGBERT AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72136,-122.3897746
1241 EVANS AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.73894546,-122.382068
1240 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,Complied,Complied,37.77838026,-122.4157178
1243 VAN NESS AVE,USA,CA,94109,San Francisco,Western Addition,NA,NA,Complied,Complied,37.78730462,-122.4220424
1244 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,Complied,Complied,37.77831173,-122.4158066
1244 SUTTER ST,USA,CA,94109,San Francisco,Downtown/Civic Center,NA,Exempt - Vacant,Complied,Complied,37.787909,-122.4210292
1250 TENNESSEE ST,USA,CA,94107,San Francisco,Potrero Hill,NA,DidNotComply,DidNotComply,DidNotComply,37.75580718,-122.3895268
1250 VAN DYKE AVE,USA,CA,94124,San Francisco,Bayview,NA,DidNotComply,DidNotComply,DidNotComply,37.72579286,-122.3854215
1255 POST ST,USA,CA,94109,San Francisco,Western Addition,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78631825,-122.4224981
1255 THOMAS AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72656411,-122.3850268
1256 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.77831017,-122.4160498
126 POST ST,USA,CA,94108,San Francisco,Fidi,NA,Complied,Complied,Complied,37.78910796,-122.4042845
1260 EGBERT AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72152165,-122.390059
1263 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,Complied,Complied,37.77545198,-122.4125897
1263 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.77641094,-122.4138811
127 SUTTER ST,USA,CA,94104,San Francisco,Fidi,NA,DidNotComply,DidNotComply,DidNotComply,37.78993843,-122.4027901
1275 FAIRFAX AVE,USA,CA,94124,San Francisco,Bayview,NA,Complied,Complied,Complied,37.73864856,-122.3830056
1275 UNDERWOOD AVE,USA,CA,94124,San Francisco,Bayview,NA,DidNotComply,DidNotComply,DidNotComply,37.72577926,-122.3857609
1278 INDIANA ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.75425797,-122.391132
130 POTRERO AVE,USA,CA,94103,San Francisco,Mission,NA,NA,Complied,Complied,37.76783878,-122.408263
130 SUTTER ST,USA,CA,94108,San Francisco,Fidi,Complied,Complied,Complied,Complied,37.7902376,-122.4030324
1300 ILLINOIS ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,Complied,Complied,37.75482961,-122.3874294
1301 EVANS AVE,USA,CA,94124,San Francisco,Bayview,NA,DidNotComply,DidNotComply,DidNotComply,37.73965321,-122.3831962
1301 FOLSOM ST,USA,CA,94103,San Francisco,Western SOMA,NA,Complied,complied,Complied,37.77338002,-122.4115686
1301 HARRISON ST,USA,CA,94103,San Francisco,South of Market,Complied,NA,DidNotComply,DidNotComply,37.77220572,-122.4101
1301 SANSOME ST,USA,CA,94133,San Francisco,North Beach,NA,Complied,Complied,Complied,37.80233595,-122.4032969
1301 VAN NESS AVE,USA,CA,94109,San Francisco,Western Addition,NA,Complied,Complied,DidNotComply,37.78776854,-122.422189
1315 EGBERT AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72171174,-122.3914642
